feature,random_forest_importance,logistic_abs_mean_coefficient
official_station_id=STA_ES2005A,6.663379446841346e-05,0.09470662852725092
official_station_id=STA_ES1627A,6.051473514105942e-05,0.05045787227259412
official_station_id=STA_ES1741A,5.921495640725739e-05,0.09207042681238982
official_station_id=STA_ES1160A,5.5130434718172256e-05,0.06157137812331709
official_station_id=STA_ES1363A,4.740888523808721e-05,0.058678950810289135
official_station_id=STA_ES2109A,4.6192345122295814e-05,0.056859312795971916
official_station_id=STA_ES0824A,4.2298064567384195e-05,0.042876133992563875
official_station_id=STA_ES1443A,4.117918171348319e-05,0.04655041064558833
official_station_id=STA_ES2024A,2.588562848851106e-05,0.044419924457977635
official_station_id=STA_ES1709A,2.111920892723673e-05,0.05189183353043789
official_station_id=STA_ES2131A,1.915706856906494e-05,0.053281106118183805
official_station_id=STA_ES1624A,1.5890688962911717e-05,0.03593069879711184
official_station_id=STA_ES1175A,1.4819850803991144e-05,0.04144094057292536
official_station_id=STA_ES1797A,1.4794563869363654e-05,0.06001345720968299
official_station_id=STA_ES2006A,1.2179667139019529e-05,0.06011354402910867
