gml_id,name,latitude,longitude
STA_ES2013A,ARZÚA,42.9329,-8.1623
STA_ES0901A,S. VICENTE DE VIGO,43.2446,-8.3187
STA_ES1040A,FADIBÓN,42.9481,-9.1578
STA_ES2005A,CEE,42.9536,-9.1861
STA_ES1035A,CERCEDA,43.1866,-8.4716
STA_ES2050A,RODÍS,43.1478,-8.545
STA_ES2176A,Monte Xalo,43.20364,-8.41414
STA_ES1307A,PARAXÓN,43.177,-8.1944
STA_ES1138A,CORLAB 1,43.3671,-8.420599
STA_ES1798A,LA GRELA,43.3542,-8.4249
STA_ES1957A,TORRE DE HÉRCULES,43.3828,-8.4092
STA_ES2048A,SAN PEDRO (AIR LIQUIDE),43.3774,-8.4369
STA_ES2078A,SANTA MARGARITA,43.36306,-8.41083
STA_ES2077A,CASTRILLÓN,43.34833,-8.39722
STA_ES2076A,SAN DIEGO,43.35444,-8.38944
STA_ES2102A,TEIXEIRO,43.1407,-8.0331
STA_ES2006A,DUMBRIA,43.0089,-9.1189
STA_ES1867A,FERROL,43.481501,-8.243116
STA_ES1960A,A CABANA,43.4916,-8.2522
STA_ES1557A,PAIOSACO,43.2597,-8.555
STA_ES2166A,PENEDO,43.45921,-8.24423
STA_ES2039A,XUBIA (MEGASA),43.5197,-8.1502
STA_ES0005R,NOIA,42.720806,-8.923472
STA_ES0777A,PRESA DE VILLAGUDÍN,43.0935,-8.4964
STA_ES2049A,BUSCÁS,43.116,-8.3513
STA_ES0201A,MAGDALENA (B-1),43.4539,-7.8478
STA_ES0094A,FRAGA REDONDA (F-2),43.4054,-7.9886
STA_ES1958A,MACIÑEIRA,43.4454,-7.9181
STA_ES1959A,MARRAXÓN,43.4708,-7.8398
STA_ES1173A,VILANOVA (G-2),43.5544,-8.0286
STA_ES1309A,CAMPO DE FÚTBOL,42.9092,-8.5068
STA_ES1868A,COMPOSTELA,42.876,-8.5591
STA_ES1901A,SAN CAETANO,42.8878,-8.5311
STA_ES1858A,CUENCA,40.0619,-2.1297
STA_ES1201A,AGULLANA (DIPÒSITS D'AIGUA),42.391975687,2.842138412
STA_ES1311A,BEGUR (CENTRE D'ESTUDIS DEL MAR),41.958676874,3.212854412
STA_ES1559A,LA BISBAL D'EMPORDÀ (AJUNTAMENT),41.959328421,3.037425681
STA_ES1936A,BREDA (RAVAL SALVÀ),41.7463,2.5567
STA_ES2099A,BREDA (CENTRE DE DIA),41.75,2.56
STA_ES0010R,CABO DE CREUS,42.31917,3.315556
STA_ES0991A,CASSÀ DE LA SELVA (AJUNTAMENT),41.8849,2.8742
STA_ES1999A,GIRONA (ESCOLA DE MÚSICA),41.976385751,2.816547298
STA_ES1310A,PARDINES (AJUNTAMENT),42.312078421,2.214272866
STA_ES2177A,Puigcerdà (Museu Cerdà),42.43381,1.93039
STA_ES1347A,SANTA PAU (CAN JORDÀ),42.143260622,2.510206967
STA_ES1973A,CIUDAD DEPORTIVA,37.1356,-3.6193
STA_ES1560A,GRANADA - NORTE,37.1961,-3.61266
STA_ES1924A,PALACIO CONGRESOS,37.16568,-3.6001
STA_ES1370A,MOTRIL,36.74312,-3.5173
STA_ES0007R,VÍZNAR,37.236944,-3.550556
STA_ES1536A,AZUQUECA DE HENARES,40.571,-3.2646
STA_ES2133A,AZUQUECA - IES,40.5684,-3.2702
STA_ES0009R,CAMPISÁBALOS,41.27417,-3.1425
STA_ES1537A,GUADALAJARA,40.6298,-3.1716
STA_ES2121A,ANDOAIN,43.2213,-2.02328
STA_ES1599A,PAGOETA,43.25055555,-2.155
STA_ES1501A,AZPEITIA,43.1804,-2.2682
STA_ES1499A,BEASAIN,43.04811,-2.19138
STA_ES2122A,JAIZKIBEL,43.34289,-1.85943
STA_ES1497A,HERNANI,43.2675,-1.9777
STA_ES1442A,ARRASATE,43.0642,-2.4904
STA_ES1496A,RENTERIA,43.31444444,-1.89944444
STA_ES1494A,ATEGORRIETA,43.322,-1.9607
STA_ES1696A,PUYO,43.30277777,-1.98444444
STA_ES1697A,AVENIDA TOLOSA,43.3094,-2.0109
STA_ES2101A,EASO,43.31217,-1.98083
STA_ES2120A,ZUBIETA,43.27209,-2.03131
STA_ES1498A,TOLOSA,43.1308,-2.078
STA_ES2118A,USURBIL,43.27379,-2.05051
STA_ES2103A,ZUMARRAGA,43.12518,-2.31811
STA_ES2119A,LASARTE-ORIA,43.26874,-2.01913
STA_ES1878A,MATALASCAÑAS,37.0161,-6.57042
STA_ES0017R,DOÑANA,37.05194,-6.555
STA_ES1794A,CARTAYA,37.30464,-7.15018
STA_ES0822A,LA ORDEN,37.27964,-6.93807
STA_ES1256A,LOS ROSALES,37.2602,-6.9255
STA_ES0785A,ROMERALEJO,37.26725,-6.91905
STA_ES1328A,MARISMAS DEL TITÁN,37.25258,-6.94219
STA_ES1340A,POZO DULCE,37.25336,-6.93514
STA_ES1658A,CAMPUS DEL CARMEN,37.271677,-6.92529
STA_ES1258A,MOGUER,37.28156,-6.83384
STA_ES1793A,EL ARENOSILLO,37.1041,-6.7341
STA_ES1792A,MAZAGON,37.13379,-6.80745
STA_ES1259A,NIEBLA,37.3613,-6.6769
STA_ES0892A,LA RÁBIDA,37.19977,-6.92027
STA_ES1067A,PALOS,37.21925,-6.88858
STA_ES0787A,TORREARENILLA,37.19033,-6.90453
STA_ES0823A,PUNTA UMBRÍA,37.18568,-6.96414
STA_ES0827A,SAN JUÁN DEL PUERTO,37.3154,-6.84463
STA_ES1791A,VALVERDE,37.57978,-6.75555
STA_ES1417A,HUESCA,42.13611,-0.40389
STA_ES1420A,MONZÓN,41.91861,0.19694
STA_ES2041A,MONZÓN CENTRO,41.91614,0.191101
STA_ES1883A,TORRELISA,42.4578,0.1819
STA_ES2153A,UM1 SABIÑANIGO,42.527395,-0.366271
STA_ES1984A,SARIÑENA ESCUELAS,41.79778,-0.15611
STA_ES1985A,SARIÑENA LAVADERO,41.80083,-0.15583
STA_ES1253A,BAILÉN,38.09293,-3.78392
STA_ES1656A,RONDA DEL VALLE,37.78255,-3.78157
STA_ES1824A,LAS FUENTEZUELAS,37.78444,-3.81032
STA_ES1718A,VILLANUEVA DEL ARZOBISPO,38.174396,-3.01022
STA_ES1989A,LARIO,43.0414,-5.0897
STA_ES0377A,CORTIGUERA,42.6117,-6.6433
STA_ES1591A,CARRACEDELO,42.5586,-6.7256
STA_ES0373A,CONGOSTO,42.6256,-6.5208
STA_ES0761A,CUADROS,42.7156,-5.6389
STA_ES2142A,CUBILLOS DEL SIL-FESE,42.61797,-6.56827
STA_ES0360A,LILLO,42.7814,-6.6039
STA_ES1161A,BARRIO PINILLA,42.6039,-5.5872
STA_ES1988A,LEÓN 4,42.5753,-5.5664
STA_ES2152A,LEÓN-IES JUAN DEL ENCINA,42.599,-5.5708
STA_ES0354A,PALACIOS DEL SIL,42.8778,-6.44
STA_ES1790A,PONFERRADA 4,42.54277777,-6.58472222
STA_ES2141A,PONFERRADA 6,42.5507,-6.6036
STA_ES1297A,LA ROBLA,42.8028,-5.6236
STA_ES2032A,TUDELA VEGUÍN,42.80167,-5.64889
STA_ES2145A,CUETO,42.6321,-6.6497
STA_ES2106A,VALDERAS,42.0797,-5.4489
STA_ES1592A,OTERO,42.56444444,-6.78194444
STA_ES1590A,TORAL DE LOS VADOS,42.545,-6.72555555
STA_ES2164A,TORAL DEL LOS VADOS-B(A)P,42.54529,-6.77554
STA_ES1348A,BELLVER DE CERDANYA (CEIP MARE DE DÉU DE TALLÓ),42.3683,1.7768
STA_ES2184A,BELLVER DE CERDANYA (EL TALLÓ),42.3629,1.7797
STA_ES2034A,JUNEDA (PLA DEL MOLÍ),41.544104651,0.829933196
STA_ES1225A,LLEIDA (IRURITA - PIUS XII),41.6158,0.6157
STA_ES1588A,PONTS (PONENT),41.906647654,1.192974755
STA_ES1982A,MONTSEC (OAM),42.051340687,0.729555647
STA_ES1248A,SORT (ESCOLA DE CAIAC),42.40538,1.13
STA_ES0014R,ELS TORMS,41.393333,0.734167
STA_ES1649A,ALFARO,42.176,-1.744
STA_ES1779A,ARRÚBAL,42.44,-2.239
STA_ES1746A,GALILEA,42.341,-2.232
STA_ES1602A,LA CIGÜEÑA,42.464,-2.428
STA_ES1753A,PRADEJÓN,42.34,-2.059
STA_ES0343A,RIO COBO,43.6844,-7.4319
STA_ES0339A,XOVE,43.686269,-7.507778
STA_ES1905A,LUGO-FINGOY,42.9979,-7.5509
STA_ES2172A,Cuíña,42.9573,-7.5047
STA_ES1285A,LOUSEIRAS (B-2),43.5329,-7.7377
STA_ES1174A,NNW,42.7261,-7.4519
STA_ES1175A,SUR,42.71527777,-7.44944444
STA_ES2131A,EST-OU,42.7172,-7.4456
STA_ES2182A,SUR,42.71528,-7.44944
STA_ES0016R,O SAVIÑAO,42.63472,-7.704583
STA_ES1359A,MOURENCE (C-9),43.313,-7.6937
STA_ES1961A,BURELA,43.6694,-7.3789
STA_ES2143A,ESCOLA DE MÚSICA,43.6591,-7.3632
STA_ES1563A,ALCALÁ DE HENARES,40.479328,-3.377949
STA_ES1564A,ALCOBENDAS,40.540351,-3.645253
STA_ES1890A,ALCORCÓN,40.3419,-3.8337
STA_ES1838A,ALGETE,40.5997,-3.5033
STA_ES1611A,ARANJUEZ,40.03327,-3.5914
STA_ES1801A,ARGANDA DEL REY,40.3006944,-3.45883056
STA_ES1802A,EL ATAZAR,40.909,-3.4679
