candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
selected_features__fuzzy__k-4,fuzzy,selected_features,4,0.5765286735913079,0.1741083530100087,507.1139205233842,1.9140328944131217,0.9788090239990329,0.9497018238995074,0.17816764132553606,0.0,0.9736221691737059,false,bootstrap_instability
pca_scores__fuzzy__k-7,fuzzy,pca_scores,7,0.5693176035936954,0.15261539890833464,585.7110602862533,1.7467088326619127,0.9995652625018115,0.9389709812201229,0.06744639376218324,0.0,0.9648089464970315,false,bootstrap_instability
pca_scores__gmm__k-7__covariance-full,gmm,pca_scores,7,0.5611748654328677,0.28784899448696155,578.2391858140277,1.5892428893160384,0.8808669201278878,0.9190862938711668,0.030799220272904482,0.0,0.8467683936269954,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-5__covariance-full,gmm,pca_scores,5,0.5603408531115323,0.27219647000314956,502.0211967630218,2.1121184519560154,0.9854809845865289,0.9259567162903083,0.07251461988304093,0.0,0.9123380273343242,false,bootstrap_instability
pca_scores__gmm__k-5__covariance-diag,gmm,pca_scores,5,0.5562394172593426,0.2766885442809706,460.5335775172676,1.986565139948583,0.9697672824433604,0.9069022514451557,0.07407407407407407,0.0,0.9184229871755808,false,bootstrap_instability
pca_scores__gmm__k-6__covariance-full,gmm,pca_scores,6,0.5510020561257106,0.2864760156447269,568.5117921467498,1.6504593054136898,0.8934880761656341,0.874337622885704,0.03235867446393762,0.0,0.8610895022313705,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-2__covariance-full,gmm,pca_scores,2,0.5501304569668176,0.28249937517182905,494.32371354802007,2.056226805715342,0.9028236931708519,0.8570069820863389,0.3793372319688109,0.0,0.9575725846328524,false,"repeat_instability,bootstrap_instability"
pca_scores__ward__k-2,ward,pca_scores,2,0.5467071965657263,0.3730778779732014,638.2274672577431,1.3521713164352,1.0,0.7686899680524303,0.1543859649122807,0.0,0.6207082099212825,false,bootstrap_instability
selected_features__gmm__k-4__covariance-diag,gmm,selected_features,4,0.5356606077562551,0.23170250260149078,436.4679233604084,2.023806130547908,1.0,0.9238596312431526,0.0884990253411306,0.0,0.8612034383767322,false,bootstrap_instability
pca_scores__gmm__k-7__covariance-diag,gmm,pca_scores,7,0.5173377131097515,0.18097860662343965,434.9452844490471,1.634059743363005,0.9042258319443962,0.9135568317041182,0.021052631578947368,0.0,0.9307933020240611,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-6__covariance-diag,gmm,pca_scores,6,0.49444289394632024,0.2983086754769149,493.07890977432294,1.6930774424430843,0.8358118065546317,0.806351875257051,0.021052631578947368,0.0,0.8589490706826998,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-8__covariance-diag,gmm,pca_scores,8,0.48852131001478405,0.1874460554748164,431.46512077467247,1.5811446082745424,0.8793115940859001,0.8738748505517633,0.021052631578947368,0.0,0.9190455010775306,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-4__covariance-full,gmm,selected_features,4,0.48815831962447553,0.26249935601761226,502.49686602457257,1.7120521456031872,0.8540195383994623,0.7810655949468723,0.11695906432748537,0.0,0.8635909003117156,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-3__covariance-diag,gmm,selected_features,3,0.45648066536062326,0.21599775596491347,461.9051049207236,1.7885784888596377,0.8058951953979911,0.7909508632775083,0.15984405458089668,0.0,0.8734079454895461,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-8__covariance-diag,gmm,selected_features,8,0.4531022894613044,0.16984424972677517,376.4917346863433,1.8079049151290514,0.8746130918734402,0.9112818587334401,0.026900584795321637,0.0,0.850404941631909,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-8__covariance-full,gmm,selected_features,8,0.44681108270517156,0.17146558499322156,374.5210030380547,1.9098158434278099,0.8958722217189011,0.900020876068021,0.02729044834307992,0.0,0.8550187770411424,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-8__covariance-full,gmm,pca_scores,8,0.4465259572172784,0.2781148603202602,511.2183225493331,1.716980179215021,0.7684495826858941,0.800207346632716,0.02962962962962963,0.0,0.8476450322023292,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-7__covariance-full,gmm,selected_features,7,0.445340078184572,0.16231966801295117,378.3874942940011,1.782072386916666,0.8733379892439903,0.8718516674183573,0.02962962962962963,0.0,0.852066636822871,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-5__covariance-diag,gmm,selected_features,5,0.4440968949895394,0.12409455382216832,360.83106689590284,2.1942831769374043,1.0,0.844188349940646,0.07407407407407407,0.0,0.9119489345601923,false,bootstrap_instability
selected_features__gmm__k-6__covariance-diag,gmm,selected_features,6,0.4141930251426672,0.1539398386700728,382.9578986158302,1.992453055289331,0.8152372009619834,0.8449537623854972,0.028070175438596492,0.0,0.8864565659044076,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-6__covariance-full,gmm,selected_features,6,0.4137631347406288,0.13175230306772331,342.75397400846765,2.025839249234337,0.8922260783009591,0.822157031020176,0.03391812865497076,0.0,0.9068861994139809,false,"repeat_instability,bootstrap_instability"
pca_scores__fuzzy__k-8,fuzzy,pca_scores,8,0.404307977703247,0.16875128699008174,540.2085222657743,1.7381915600744515,0.9942846626876535,0.5757063394496751,0.06783625730994151,0.0,0.9606321927758005,false,bootstrap_instability
selected_features__fuzzy__k-7,fuzzy,selected_features,7,0.4029107649762049,0.09216968269850379,372.56002566394716,2.6415284440634887,0.9415704959570518,0.9155886319792214,0.04717348927875244,0.0,0.9395911913573733,false,"repeat_instability,bootstrap_instability"
selected_features__fuzzy__k-8,fuzzy,selected_features,8,0.38051646708423104,0.022619891592967144,334.03750813225247,2.410268437745669,0.9926284371171067,0.9655733143204991,0.0015594541910331384,0.0,0.8146882395707097,false,tiny_cluster
selected_features__gmm__k-2__covariance-full,gmm,selected_features,2,0.37668099474699124,0.3237097574986317,377.98910921824086,2.2133506692148983,0.9400471867209861,0.661596373477719,0.18908382066276802,0.0,0.6995509445732804,false,"repeat_instability,bootstrap_instability"
pca_scores__gmm__k-4__covariance-full,gmm,pca_scores,4,0.35096074765366714,0.24370074551508158,465.05331072382546,2.0283365849622434,0.6771279639258618,0.718936584255159,0.042105263157894736,0.0,0.8110947104242493,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-5__covariance-full,gmm,selected_features,5,0.3245961371913206,0.12376753449111458,359.027821359439,2.1961290668141844,0.6338316320696205,0.78825089550607,0.07758284600389864,0.0,0.9301174193089545,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-7__covariance-diag,gmm,selected_features,7,0.31854823138760135,0.09847508193977347,304.60328279752963,2.1225089407321454,0.9175734819573333,0.6766403379465921,0.03898635477582846,0.0,0.8852544620384447,false,"repeat_instability,bootstrap_instability"
selected_features__gmm__k-3__covariance-full,gmm,selected_features,3,0.26764625876434417,0.2659168857324724,364.43995081883384,1.929301442712056,0.7215778002398812,0.6043510476154962,0.025730994152046785,0.0,0.6114862884243243,false,"repeat_instability,bootstrap_instability"
