name,longitude,latitude
ASOMADILLA,-4.77958,37.90274
LEPANTO,-4.76234,37.89261
PARQUE JOYERO,-4.81583,37.87522
AVDA. AL-NASIR,-4.7801,37.8926
POBLADO,-4.9268,38.1081
OBEJO,-4.8017,38.1325
VILLAHARTA,-4.904,38.1379
SABÓN,-8.5019,43.3242
ARTEIXO,-8.4919,43.3075
LAÑAS,-8.5189,43.2953
SORRIZO,-8.5717,43.3047
PASTORIZA-REPSOL,-8.472,43.3353
CENTRO CIVICO,-8.506,43.3023
PLAZA PASTORIZA,-8.4672,43.3472
SABÓN-EMBALSE,-8.4997,43.3223
PARQUE DA CEGA,-8.44914,43.34305
ARZÚA,-8.1623,42.9329
S. VICENTE DE VIGO,-8.3187,43.2446
FADIBÓN,-9.1578,42.9481
CEE,-9.1861,42.9536
CERCEDA,-8.4716,43.1866
RODÍS,-8.545,43.1478
Monte Xalo,-8.41414,43.20364
PARAXÓN,-8.1944,43.177
CORLAB 1,-8.420599,43.3671
LA GRELA,-8.4249,43.3542
TORRE DE HÉRCULES,-8.4092,43.3828
SAN PEDRO (AIR LIQUIDE),-8.4369,43.3774
SANTA MARGARITA,-8.41083,43.36306
CASTRILLÓN,-8.39722,43.34833
SAN DIEGO,-8.38944,43.35444
TEIXEIRO,-8.0331,43.1407
DUMBRIA,-9.1189,43.0089
FERROL,-8.243116,43.481501
A CABANA,-8.2522,43.4916
PAIOSACO,-8.555,43.2597
PENEDO,-8.24423,43.45921
XUBIA (MEGASA),-8.1502,43.5197
NOIA,-8.923472,42.720806
PRESA DE VILLAGUDÍN,-8.4964,43.0935
BUSCÁS,-8.3513,43.116
MAGDALENA (B-1),-7.8478,43.4539
FRAGA REDONDA (F-2),-7.9886,43.4054
MACIÑEIRA,-7.9181,43.4454
MARRAXÓN,-7.8398,43.4708
VILANOVA (G-2),-8.0286,43.5544
CAMPO DE FÚTBOL,-8.5068,42.9092
COMPOSTELA,-8.5591,42.876
SAN CAETANO,-8.5311,42.8878
CUENCA,-2.1297,40.0619
AGULLANA (DIPÒSITS D'AIGUA),2.842138412,42.391975687
BEGUR (CENTRE D'ESTUDIS DEL MAR),3.212854412,41.958676874
LA BISBAL D'EMPORDÀ (AJUNTAMENT),3.037425681,41.959328421
BREDA (RAVAL SALVÀ),2.5567,41.7463
BREDA (CENTRE DE DIA),2.56,41.75
CABO DE CREUS,3.315556,42.31917
CASSÀ DE LA SELVA (AJUNTAMENT),2.8742,41.8849
GIRONA (ESCOLA DE MÚSICA),2.816547298,41.976385751
PARDINES (AJUNTAMENT),2.214272866,42.312078421
Puigcerdà (Museu Cerdà),1.93039,42.43381
SANTA PAU (CAN JORDÀ),2.510206967,42.143260622
CIUDAD DEPORTIVA,-3.6193,37.1356
GRANADA - NORTE,-3.61266,37.1961
PALACIO CONGRESOS,-3.6001,37.16568
MOTRIL,-3.5173,36.74312
VÍZNAR,-3.550556,37.236944
AZUQUECA DE HENARES,-3.2646,40.571
AZUQUECA - IES,-3.2702,40.5684
CAMPISÁBALOS,-3.1425,41.27417
GUADALAJARA,-3.1716,40.6298
ANDOAIN,-2.02328,43.2213
PAGOETA,-2.155,43.25055555
AZPEITIA,-2.2682,43.1804
BEASAIN,-2.19138,43.04811
JAIZKIBEL,-1.85943,43.34289
HERNANI,-1.9777,43.2675
ARRASATE,-2.4904,43.0642
RENTERIA,-1.89944444,43.31444444
ATEGORRIETA,-1.9607,43.322
PUYO,-1.98444444,43.30277777
AVENIDA TOLOSA,-2.0109,43.3094
EASO,-1.98083,43.31217
ZUBIETA,-2.03131,43.27209
TOLOSA,-2.078,43.1308
USURBIL,-2.05051,43.27379
ZUMARRAGA,-2.31811,43.12518
LASARTE-ORIA,-2.01913,43.26874
MATALASCAÑAS,-6.57042,37.0161
DOÑANA,-6.555,37.05194
CARTAYA,-7.15018,37.30464
LA ORDEN,-6.93807,37.27964
LOS ROSALES,-6.9255,37.2602
ROMERALEJO,-6.91905,37.26725
MARISMAS DEL TITÁN,-6.94219,37.25258
POZO DULCE,-6.93514,37.25336
CAMPUS DEL CARMEN,-6.92529,37.271677
MOGUER,-6.83384,37.28156
